Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID
8/20/24,"20 August 2024: A school which shelters IDPs was hit and 12 people, including children and a journalist were killed by an Israeli airstrike. ",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,0,TRUE,0,0,0,0,12,0,0,0,0,0,73756
8/20/24,August 2024: A school was bombed by a Military Council airstrike.,Myanmar,MMR,Sagaing Region,23.1958442,94.014583,"(3) District, Communicipality or Commune ",Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73826
8/19/24,August 2024: An unspecified number of schools were damaged by a Military Council airstrike. ,Myanmar,MMR,Chin,22.018242,93.5038035,"(4) Province, State, Governorate ",Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73825
8/16/24,"August 2024: A school was hit by airstrikes from military council forces, killing 11 refugees and injuring an unspecified number of others. ",Myanmar,MMR,Rakhine,18.0128728,94.4872053,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,12,0,0,0,0,0,73827
8/14/24,"August 2024:A secondary school was hit with RSF shells, killing five girls and injuring 20 children. ",Sudan,SDN,North Kordofan State,13.17996295,30.21906244,(2) 25 km Precision ,Education Building ,Vigilante,Rapid Support Forces,Shelling,Secondary School,1,0,0,0,0,1,TRUE,0,0,0,0,25,5,20,0,0,0,75802
8/14/24,August 2024: A grenade was thrown at a high school by unidentified perpetrators during 'independence day' celebrations. ,Pakistan,PAK,Balochistan,25.333333,63.333333,"(3) District, Communicipality or Commune ",Education Building ,No Information,No Information,Hand Grenade,Secondary School,1,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,76232
8/14/24,August 2024: A grenade was thrown at a school by unidentified perpetrators during 'independence day' celebrations. ,Pakistan,PAK,Balochistan,25.264384,63.4723455,(2) 25 km Precision ,Education Building ,No Information,No Information,Hand Grenade,School: No Further Details,1,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,76264
8/13/24,August 2024: A school was damaged by armed drone attacks by the Myanmar military.,Myanmar,MMR,Bago Region,18.06447472,96.73114276,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,70126
8/12/24,"12 August 2024: A school was hit by an Israeli airstrike, injuring a seven year-old girl. ",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,0,TRUE,0,0,0,0,1,0,0,0,0,0,73723
8/10/24,"10 August 2024: Two doctors who were brother and sister, and their mother were killed when their house in the vicinity of a school was hit by Israeli forces bombing. Rescue teams evacuated at least 25 people from the vicinity of the school, including pupils.",OPT,PSE,Gaza Strip,0,0,censored,Home,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,School: No Further Details,0,0,0,0,0,0,TRUE,0,0,0,0,3,2,0,0,0,0,78904
