Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID
9/15/24,Lebanon,LBN,No Information,0,0,censored by HDX,Education Building ,Foreign Forces - Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,84350
8/29/24,Colombia,COL,RAP Pacific,2.8008435,-76.5500958,(2) 25 km Precision ,Other,No Information,No Information,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0,0,0,77196
8/28/24,OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,School: No Further Details,1,0,0,0,0,0,TRUE,0,0,0,0,10,0,0,0,0,0,73789
8/27/24,Myanmar,MMR,Sagaing Region,22.95318855,94.4442828,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,3,0,0,0,0,0,76165
8/27/24,Myanmar,MMR,Shan State,22.5436897,97.0357197,"(3) District, Communicipality or Commune ",Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,Secondary School,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73888
8/26/24,Pakistan,PAK,Balochistan,26.2267783,66.3112626,(2) 25 km Precision ,Education Building ,NSA,Balochistan Liberation United Front,Unspecified Explosive,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,76297
8/26/24,Sudan,SDN,North Darfur State,13.6238244,25.3555559,"(3) District, Communicipality or Commune ",Education Building ,Vigilante,Rapid Support Forces,Artillery,University,0,1,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,76000
8/26/24,Myanmar,MMR,Mandalay,21.27012345,95.48463823,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73856
8/25/24,Mali,MLI,Mopti,14.3505,-3.6112766,"(3) District, Communicipality or Commune ",None,NSA,Jama'at Nasr al-Islam wal Muslimin,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0,0,0,75308
8/25/24,Yemen,YEM,Sana'a Governorate,15.245063,43.982055,(2) 25 km Precision ,Education Building ,No Information,No Information,Unspecified IED,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,30,0,30,0,0,0,77193
